Img,Coord X,Coord Y
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/1PO-A/t1152904757.543670_x-10.279707_y3.264208_a-0.308918.jpeg,-10.279707,3.264208
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/1PO-A/t1152904727.757808_x-9.115151_y3.019113_a3.096968.jpeg,-9.115151,3.019113
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/1PO-A/t1152904730.818111_x-9.646496_y3.061825_a3.091207.jpeg,-9.646496,3.061825
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/1PO-A/t1152904726.737744_x-8.942838_y3.026103_a3.102156.jpeg,-8.942838,3.026103
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/1PO-A/t1152904759.583796_x-9.978476_y3.172651_a-0.261730.jpeg,-9.978476,3.172651
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/1PO-A/t1152904733.878192_x-10.145912_y3.133690_a2.983836.jpeg,-10.145912,3.13369
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/1PO-A/t1152904746.118957_x-11.200222_y4.086536_a0.749801.jpeg,-11.200222,4.086536
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/1PO-A/t1152904737.958446_x-10.907356_y3.357205_a2.836829.jpeg,-10.907356,3.357205
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/1PO-A/t1152904761.623925_x-9.688006_y3.103111_a-0.243758.jpeg,-9.688006,3.103111
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/1PO-A/t1152904756.523605_x-10.391655_y3.304297_a-0.345985.jpeg,-10.391655,3.304297
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/1PO-A/t1152904760.603861_x-9.840275_y3.140726_a-0.243216.jpeg,-9.840275,3.140726
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/1PO-A/t1152904764.688201_x-9.246829_y3.003130_a-0.198755.jpeg,-9.246829,3.00313
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/1PO-A/t1152904750.403223_x-11.080844_y3.726778_a-0.700025.jpeg,-11.080844,3.726778
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/1PO-A/t1152904763.664051_x-9.403319_y3.030695_a-0.248188.jpeg,-9.403319,3.030695
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/1PO-A/t1152904736.938381_x-10.663848_y3.282096_a2.849172.jpeg,-10.663848,3.282096
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/1PO-A/t1152904741.018735_x-11.365572_y3.713446_a2.207122.jpeg,-11.365572,3.713446
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/1PO-A/t1152904743.058763_x-11.318604_y4.132654_a1.475130.jpeg,-11.318604,4.132654
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/1PO-A/t1152904742.038701_x-11.379874_y3.942018_a1.774106.jpeg,-11.379874,3.942018
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/1PO-A/t1152904731.838249_x-9.801618_y3.070873_a3.085944.jpeg,-9.801618,3.070873
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/1PO-A/t1152904747.343031_x-11.152461_y3.941173_a-0.054115.jpeg,-11.152461,3.941173
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/1PO-A/t1152904744.078828_x-11.311762_y4.147434_a1.449018.jpeg,-11.311762,4.147434
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/1PO-A/t1152904734.898253_x-10.319072_y3.177659_a2.893698.jpeg,-10.319072,3.177659
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/1PO-A/t1152904749.383265_x-11.156483_y3.800534_a-0.662244.jpeg,-11.156483,3.800534
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/1PO-A/t1152904751.423385_x-10.966634_y3.638386_a-0.687917.jpeg,-10.966634,3.638386
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/1PO-A/t1152904738.978510_x-11.116569_y3.426665_a2.815445.jpeg,-11.116569,3.426665
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/1PO-A/t1152904754.483478_x-10.692480_y3.424492_a-0.687607.jpeg,-10.69248,3.424492
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/1PO-A/t1152904767.748409_x-8.802967_y2.896259_a-0.201738.jpeg,-8.802967,2.896259
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/1PO-A/t1152904725.717681_x-8.785073_y3.018141_a3.105475.jpeg,-8.785073,3.018141
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/1PO-A/t1152904766.728246_x-8.963435_y2.916006_a-0.291854.jpeg,-8.963435,2.916006
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/1PO-A/t1152904735.918316_x-10.479821_y3.231285_a2.848723.jpeg,-10.479821,3.231285
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/1PO-A/t1152904724.697616_x-8.611224_y3.013103_a3.105258.jpeg,-8.611224,3.013103
