Img,Coord X,Coord Y
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/2PO2-A/t1152904712.456851_x-7.587958_y1.731431_a1.509418.jpeg,-7.587958,1.731431
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/2PO2-A/t1152904777.953045_x-7.679395_y2.283332_a-1.646486.jpeg,-7.679395,2.283332
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/2PO2-A/t1152904782.033199_x-7.685489_y1.644702_a-1.574325.jpeg,-7.685489,1.644702
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/2PO2-A/t1152904710.416723_x-7.609684_y1.378247_a1.558607.jpeg,-7.609684,1.378247
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/2PO2-A/t1152904781.013136_x-7.682389_y1.798897_a-1.570672.jpeg,-7.682389,1.798897
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/2PO2-A/t1152904770.808499_x-8.325784_y2.793816_a-0.216032.jpeg,-8.325784,2.793816
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/2PO2-A/t1152904718.577237_x-7.604554_y2.776408_a1.714994.jpeg,-7.604554,2.776408
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/2PO2-A/t1152904777.544918_x-7.654869_y2.326683_a-1.533063.jpeg,-7.654869,2.326683
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/2PO2-A/t1152904708.988751_x-7.642468_y1.150866_a1.816886.jpeg,-7.642468,1.150866
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/2PO2-A/t1152904773.868690_x-7.832570_y2.754991_a-0.033829.jpeg,-7.83257,2.754991
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/2PO2-A/t1152904721.229423_x-8.003630_y2.963256_a2.736091.jpeg,-8.00363,2.963256
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/2PO2-A/t1152904711.436787_x-7.603847_y1.554132_a1.558520.jpeg,-7.603847,1.554132
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/2PO2-A/t1152904713.068922_x-7.583234_y1.819625_a1.511022.jpeg,-7.583234,1.819625
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/2PO2-A/t1152904722.657489_x-8.266974_y3.000385_a3.004640.jpeg,-8.266974,3.000385
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/2PO2-A/t1152904715.517250_x-7.550797_y2.239892_a1.506251.jpeg,-7.550797,2.239892
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/2PO2-A/t1152904769.380408_x-8.534684_y2.839252_a-0.210220.jpeg,-8.534684,2.839252
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/2PO2-A/t1152904774.892754_x-7.672905_y2.743972_a-0.079889.jpeg,-7.672905,2.743972
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/2PO2-A/t1152904779.993072_x-7.688469_y1.951963_a-1.607815.jpeg,-7.688469,1.951963
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/2PO2-A/t1152904785.093583_x-7.689204_y1.151322_a-1.591773.jpeg,-7.689204,1.151322
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/2PO2-A/t1152904723.677551_x-8.440579_y3.017045_a3.026405.jpeg,-8.440579,3.017045
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/2PO2-A/t1152904774.480727_x-7.730847_y2.752532_a-0.035655.jpeg,-7.730847,2.752532
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/2PO2-A/t1152904717.149168_x-7.558690_y2.536161_a1.498048.jpeg,-7.55869,2.536161
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/2PO2-A/t1152904784.073326_x-7.687912_y1.309824_a-1.583951.jpeg,-7.687912,1.309824
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/2PO2-A/t1152904721.637617_x-8.072588_y2.998798_a2.721611.jpeg,-8.072588,2.998798
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/2PO2-A/t1152904781.625174_x-7.684679_y1.708687_a-1.571707.jpeg,-7.684679,1.708687
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/2PO2-A/t1152904775.912818_x-7.562790_y2.613067_a-0.590140.jpeg,-7.56279,2.613067
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/2PO2-A/t1152904717.557172_x-7.555457_y2.595935_a1.495223.jpeg,-7.555457,2.595935
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/2PO2-A/t1152904713.476920_x-7.581327_y1.891085_a1.521090.jpeg,-7.581327,1.891085
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/2PO2-A/t1152904772.848623_x-7.977060_y2.738727_a-0.162074.jpeg,-7.97706,2.738727
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/2PO2-A/t1152904783.053263_x-7.686775_y1.488988_a-1.578755.jpeg,-7.686775,1.488988
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/2PO2-A/t1152904714.496978_x-7.564134_y2.069436_a1.510303.jpeg,-7.564134,2.069436
