Img,Coord X,Coord Y
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/CR-A/t1152904631.487795_x-5.355846_y-0.012420_a-3.064399.jpeg,-5.355846,-0.01242
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/CR-A/t1152904462.009198_x0.453459_y-0.022843_a0.005103.jpeg,0.453459,-0.022843
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/CR-A/t1152904464.049328_x0.791668_y-0.063207_a-0.048566.jpeg,0.791668,-0.063207
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/CR-A/t1152905010.619484_x-5.837081_y-0.412362_a0.059417.jpeg,-5.837081,-0.412362
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/CR-A/t1152904879.623385_x-14.343214_y-0.296409_a3.138688.jpeg,-14.343214,-0.296409
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/CR-A/t1152904693.075731_x-5.865827_y-0.768245_a1.759043.jpeg,-5.865827,-0.768245
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/CR-A/t1152904688.995386_x-5.806167_y-1.447779_a1.607547.jpeg,-5.806167,-1.447779
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/CR-A/t1152904998.186830_x-8.700484_y-0.572750_a0.064562.jpeg,-8.700484,-0.57275
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/CR-A/t1152904869.422662_x-12.021389_y-0.373199_a3.069531.jpeg,-12.021389,-0.373199
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/CR-A/t1152904963.493249_x-15.120389_y-1.172694_a1.622516.jpeg,-15.120389,-1.172694
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/CR-A/t1152904800.394345_x-9.076564_y-0.916545_a-1.900314.jpeg,-9.076564,-0.916545
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/CR-A/t1152904621.283364_x-3.252081_y-0.153794_a3.074474.jpeg,-3.252081,-0.153794
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/CR-A/t1152904609.042389_x-0.220773_y-0.415076_a2.922790.jpeg,-0.220773,-0.415076
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/CR-A/t1152904472.209837_x2.176303_y-0.170446_a-0.076431.jpeg,2.176303,-0.170446
