Img,Coord X,Coord Y
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/KT-A/t1152904848.001321_x-8.828927_y-2.405792_a1.579129.jpeg,-8.828927,-2.405792
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/KT-A/t1152904807.538793_x-8.913872_y-2.220379_a-1.463598.jpeg,-8.913872,-2.220379
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/KT-A/t1152904830.660238_x-8.593775_y-5.060574_a0.333596.jpeg,-8.593775,-5.060574
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/KT-A/t1152904833.720430_x-8.756583_y-4.929790_a1.438070.jpeg,-8.756583,-4.92979
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/KT-A/t1152904839.840813_x-8.803695_y-4.336603_a1.644209.jpeg,-8.803695,-4.336603
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/KT-A/t1152904824.335844_x-8.777393_y-5.333614_a-1.570137.jpeg,-8.777393,-5.333614
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/KT-A/t1152904808.558861_x-8.892685_y-2.441306_a-1.473673.jpeg,-8.892685,-2.441306
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/KT-A/t1152904804.478604_x-8.988059_y-1.605418_a-1.445471.jpeg,-8.988059,-1.605418
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/KT-A/t1152904814.054362_x-8.809233_y-3.500505_a-1.502114.jpeg,-8.809233,-3.500505
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/KT-A/t1152904821.275851_x-8.777753_y-4.850088_a-1.558250.jpeg,-8.777753,-4.850088
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/KT-A/t1152904822.295716_x-8.778880_y-5.053422_a-1.568779.jpeg,-8.77888,-5.053422
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/KT-A/t1152904823.315780_x-8.777444_y-5.270720_a-1.569510.jpeg,-8.777444,-5.27072
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/KT-A/t1152904832.700584_x-8.736208_y-4.933219_a1.335128.jpeg,-8.736208,-4.933219
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/KT-A/t1152904838.820748_x-8.793476_y-4.470873_a1.641244.jpeg,-8.793476,-4.470873
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/KT-A/t1152904841.881057_x-8.830888_y-3.841999_a1.623888.jpeg,-8.830888,-3.841999
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/KT-A/t1152904815.155276_x-8.796480_y-3.704036_a-1.506766.jpeg,-8.79648,-3.704036
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/KT-A/t1152904844.941131_x-8.825820_y-3.136120_a1.589869.jpeg,-8.82582,-3.13612
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/KT-A/t1152904810.598984_x-8.853888_y-2.829607_a-1.491428.jpeg,-8.853888,-2.829607
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/KT-A/t1152904835.760557_x-8.773266_y-4.812772_a1.530969.jpeg,-8.773266,-4.812772
