Img,Coord X,Coord Y
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/LO-A/t1152904575.376284_x1.043969_y-2.417592_a-1.708327.jpeg,1.043969,-2.417592
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/LO-A/t1152904572.316094_x1.106678_y-1.779507_a-1.878148.jpeg,1.106678,-1.779507
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/LO-A/t1152904587.617048_x0.063331_y-3.290836_a1.536383.jpeg,0.063331,-3.290836
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/LO-A/t1152904578.436480_x0.988276_y-3.020884_a-1.697706.jpeg,0.988276,-3.020884
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/LO-A/t1152904581.496666_x0.863484_y-3.655041_a-1.808382.jpeg,0.863484,-3.655041
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/LO-A/t1152904578.028637_x1.003364_y-2.930545_a-1.695361.jpeg,1.003364,-2.930545
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/LO-A/t1152904577.416411_x1.012142_y-2.787507_a-1.683764.jpeg,1.012142,-2.787507
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/LO-A/t1152904583.536800_x0.485980_y-3.858204_a-2.681197.jpeg,0.48598,-3.858204
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/LO-A/t1152904586.596986_x0.009079_y-3.533455_a2.130266.jpeg,0.009079,-3.533455
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/LO-A/t1152904595.777559_x1.166272_y-2.102152_a1.408470.jpeg,1.166272,-2.102152
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/LO-A/t1152904582.516815_x0.683483_y-3.805192_a-2.250836.jpeg,0.683483,-3.805192
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/LO-A/t1152904591.697305_x0.770546_y-2.816747_a0.596721.jpeg,0.770546,-2.816747
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/LO-A/t1152904582.108762_x0.756355_y-3.756687_a-2.082804.jpeg,0.756355,-3.756687
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/LO-A/t1152904573.336158_x1.114628_y-1.964092_a-1.695534.jpeg,1.114628,-1.964092
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/LO-A/t1152904571.296030_x1.154910_y-1.612378_a-1.926062.jpeg,1.15491,-1.612378
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/LO-A/t1152904588.229089_x0.124147_y-3.203902_a1.244734.jpeg,0.124147,-3.203902
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/LO-A/t1152904574.356221_x1.079393_y-2.168112_a-1.704992.jpeg,1.079393,-2.168112
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/LO-A/t1152904589.657179_x0.404419_y-3.071913_a0.606114.jpeg,0.404419,-3.071913
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/LO-A/t1152904592.309396_x0.870571_y-2.750896_a0.596886.jpeg,0.870571,-2.750896
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/LO-A/t1152904571.908106_x1.129938_y-1.698382_a-1.899127.jpeg,1.129938,-1.698382
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/LO-A/t1152904579.456540_x0.958068_y-3.249189_a-1.697167.jpeg,0.958068,-3.249189
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/LO-A/t1152904573.948196_x1.090388_y-2.086117_a-1.703238.jpeg,1.090388,-2.086117
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/LO-A/t1152904596.393598_x1.175085_y-1.952911_a1.478365.jpeg,1.175085,-1.952911
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/LO-A/t1152904584.556858_x0.224915_y-3.885860_a-3.040850.jpeg,0.224915,-3.88586
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/LO-A/t1152904584.148832_x0.313042_y-3.889985_a-2.945755.jpeg,0.313042,-3.889985
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/LO-A/t1152904580.476603_x0.920240_y-3.473066_a-1.699656.jpeg,0.92024,-3.473066
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/LO-A/t1152904576.396542_x1.033399_y-2.607559_a-1.712573.jpeg,1.033399,-2.607559
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/LO-A/t1152904594.757707_x1.176248_y-2.346194_a1.003288.jpeg,1.176248,-2.346194
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/LO-A/t1152904575.988322_x1.043341_y-2.545951_a-1.711283.jpeg,1.043341,-2.545951
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/LO-A/t1152904594.349565_x1.140669_y-2.440109_a0.863886.jpeg,1.140669,-2.440109
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/LO-A/t1152904590.677242_x0.582399_y-2.947438_a0.602035.jpeg,0.582399,-2.947438
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/LO-A/t1152904593.737434_x1.049755_y-2.550540_a0.828080.jpeg,1.049755,-2.55054
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/LO-A/t1152904580.068577_x0.939559_y-3.375480_a-1.701584.jpeg,0.939559,-3.37548
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/LO-A/t1152904597.821688_x1.185242_y-1.682044_a1.509799.jpeg,1.185242,-1.682044
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/LO-A/t1152904586.188960_x0.019005_y-3.618053_a2.360015.jpeg,0.019005,-3.618053
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/LO-A/t1152904588.637114_x0.203224_y-3.140050_a1.022822.jpeg,0.203224,-3.14005
