Img,Coord X,Coord Y
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/PA-A/t1152904500.775727_x5.164779_y-2.559282_a-1.732327.jpeg,5.164779,-2.559282
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/PA-A/t1152904523.833062_x5.019430_y-1.936747_a1.670166.jpeg,5.01943,-1.936747
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/PA-A/t1152904509.956200_x4.895128_y-2.973170_a2.647016.jpeg,4.895128,-2.97317
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/PA-A/t1152904489.554920_x5.009066_y-0.727159_a-0.707759.jpeg,5.009066,-0.727159
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/PA-A/t1152904483.434543_x4.048824_y-0.322179_a-0.078261.jpeg,4.048824,-0.322179
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/PA-A/t1152904514.652489_x5.109389_y-2.885702_a1.452165.jpeg,5.109389,-2.885702
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/PA-A/t1152904484.454603_x4.247411_y-0.343582_a-0.096111.jpeg,4.247411,-0.343582
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/PA-A/t1152904517.712683_x5.088077_y-2.671670_a1.574688.jpeg,5.088077,-2.67167
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/PA-A/t1152904518.732743_x5.090660_y-2.589852_a1.574658.jpeg,5.09066,-2.589852
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/PA-A/t1152904497.715433_x5.233207_y-2.041895_a-1.441289.jpeg,5.233207,-2.041895
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/PA-A/t1152904513.224592_x5.092512_y-2.887738_a1.557191.jpeg,5.092512,-2.887738
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/PA-A/t1152904515.672553_x5.124001_y-2.831927_a1.413065.jpeg,5.124001,-2.831927
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/PA-A/t1152904498.735496_x5.251780_y-2.218637_a-1.448838.jpeg,5.25178,-2.218637
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/PA-A/t1152904520.773066_x5.048228_y-2.378380_a1.671702.jpeg,5.048228,-2.37838
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/PA-A/t1152904535.053763_x4.716847_y-0.311206_a2.218383.jpeg,4.716847,-0.311206
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/PA-A/t1152904508.936134_x4.853448_y-3.050641_a3.089052.jpeg,4.853448,-3.050641
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/PA-A/t1152904486.494729_x4.559654_y-0.374823_a-0.086370.jpeg,4.559654,-0.374823
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/PA-A/t1152904531.993768_x4.918536_y-0.683849_a1.646125.jpeg,4.918536,-0.683849
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/PA-A/t1152904516.692618_x5.088930_y-2.750000_a1.564587.jpeg,5.08893,-2.75
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/PA-A/t1152904502.815945_x5.107444_y-2.904444_a-1.737179.jpeg,5.107444,-2.904444
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/PA-A/t1152904496.695368_x5.214572_y-1.862064_a-1.445093.jpeg,5.214572,-1.862064
