Img,Coord X,Coord Y
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/ST-A/t1152904957.368257_x-14.983801_y-2.184265_a3.001342.jpeg,-14.983801,-2.184265
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/ST-A/t1152904887.783807_x-15.093464_y-1.770436_a-1.609314.jpeg,-15.093464,-1.770436
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/ST-A/t1152904961.448413_x-15.086355_y-1.534954_a1.494808.jpeg,-15.086355,-1.534954
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/ST-A/t1152904962.468501_x-15.105770_y-1.361891_a1.602503.jpeg,-15.10577,-1.361891
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/ST-A/t1152904893.904191_x-14.376926_y-2.655185_a-0.015575.jpeg,-14.376926,-2.655185
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/ST-A/t1152904894.924256_x-14.129155_y-2.603493_a0.178148.jpeg,-14.129155,-2.603493
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/ST-A/t1152904897.984447_x-13.449928_y-2.488606_a0.228938.jpeg,-13.449928,-2.488606
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/ST-A/t1152904953.283902_x-14.271857_y-2.234894_a3.115144.jpeg,-14.271857,-2.234894
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/ST-A/t1152904953.899939_x-14.366252_y-2.229769_a3.113724.jpeg,-14.366252,-2.229769
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/ST-A/t1152904949.203648_x-13.545509_y-2.253097_a3.121686.jpeg,-13.545509,-2.253097
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/ST-A/t1152904960.428350_x-15.132164_y-1.686493_a1.671841.jpeg,-15.132164,-1.686493
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/ST-A/t1152904895.944319_x-13.901709_y-2.569016_a0.166461.jpeg,-13.901709,-2.569016
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/ST-A/t1152904889.823937_x-15.093120_y-2.231913_a-1.388154.jpeg,-15.09312,-2.231913
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/ST-A/t1152904895.536296_x-13.993860_y-2.580297_a0.173478.jpeg,-13.99386,-2.580297
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/ST-A/t1152904899.004510_x-13.242563_y-2.360666_a0.430996.jpeg,-13.242563,-2.360666
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/ST-A/t1152904891.864252_x-14.827236_y-2.600511_a-0.892439.jpeg,-14.827236,-2.600511
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/ST-A/t1152904952.263839_x-14.088242_y-2.242973_a3.120699.jpeg,-14.088242,-2.242973
