Img,Coord X,Coord Y
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/TL-A/t1152904927.570399_x-12.501073_y-3.037389_a1.632122.jpeg,-12.501073,-3.037389
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/TL-A/t1152904905.124898_x-12.188141_y-2.760140_a-1.400090.jpeg,-12.188141,-2.76014
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/TL-A/t1152904907.165019_x-12.402786_y-3.161952_a-2.004868.jpeg,-12.402786,-3.161952
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/TL-A/t1152904900.024572_x-13.036699_y-2.310435_a0.264130.jpeg,-13.036699,-2.310435
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/TL-A/t1152904901.044850_x-12.798259_y-2.272529_a0.206696.jpeg,-12.798259,-2.272529
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/TL-A/t1152904922.465975_x-12.275857_y-3.881681_a2.355552.jpeg,-12.275857,-3.881681
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/TL-A/t1152904924.510161_x-12.444925_y-3.451395_a1.958702.jpeg,-12.444925,-3.451395
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/TL-A/t1152904920.425966_x-11.909783_y-4.189684_a2.252847.jpeg,-11.909783,-4.189684
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/TL-A/t1152904943.079264_x-12.712003_y-2.223910_a2.304919.jpeg,-12.712003,-2.22391
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Entrenamiento/TL-A/t1152904914.305466_x-12.450084_y-4.828361_a-1.354543.jpeg,-12.450084,-4.828361
