Loss,Margin,Room,Epoch,It,Validation accuracy,Geometric error
semi hard,1,1PO-A,0,100,37.2093023255814,0.09435476483467178
semi hard,1,1PO-A,0,200,53.48837209302325,0.07304482242761659
semi hard,1,1PO-A,0,500,55.81395348837209,0.07200240888768104
semi hard,1,2PO1-A,0,100,67.3913043478261,0.08069025418251444
semi hard,1,2PO1-A,0,600,50.0,0.0803261605113784
semi hard,1,2PO1-A,1,500,41.30434782608695,0.0783324395924565
semi hard,1,2PO2-A,0,100,40.0,0.09291822240024708
semi hard,1,2PO2-A,0,200,55.00000000000001,0.07810543913801793
semi hard,1,CR-A,1,200,51.0548523206751,0.16293098891665342
semi hard,1,CR-A,1,300,49.36708860759494,0.15553909219348666
semi hard,1,CR-A,1,500,49.36708860759494,0.13405910549156191
semi hard,1,CR-A,1,600,56.540084388185655,0.13326080189921907
semi hard,1,CR-A,2,0,51.47679324894515,0.12671965877799787
semi hard,1,CR-A,2,100,55.69620253164557,0.11338644397167894
semi hard,1,CR-A,2,500,51.47679324894515,0.10533532564953077
semi hard,1,CR-A,3,500,48.52320675105485,0.10448986140850493
semi hard,1,CR-A,4,200,54.008438818565395,0.10144362123435209
semi hard,1,CR-A,4,300,52.742616033755276,0.10098638757124327
semi hard,1,KT-A,0,100,35.55555555555556,0.09817823689552671
semi hard,1,KT-A,0,200,35.55555555555556,0.09483757768847985
semi hard,1,KT-A,0,300,42.22222222222222,0.0934252192433823
semi hard,1,KT-A,0,400,51.11111111111111,0.09063921572203672
semi hard,1,KT-A,0,500,44.44444444444444,0.08063867816295299
semi hard,1,KT-A,1,300,55.55555555555556,0.07588141608738898
semi hard,1,LO-A,0,100,58.97435897435898,0.09141992465320377
semi hard,1,LO-A,0,400,53.84615384615385,0.08810897807586206
semi hard,1,PA-A,0,100,55.35714285714286,0.09196682994363636
semi hard,1,PA-A,0,300,53.57142857142857,0.09019978887391943
semi hard,1,PA-A,0,500,60.71428571428571,0.07921645335272857
semi hard,1,ST-A,0,100,60.0,0.08496382853734627
semi hard,1,ST-A,0,600,67.5,0.07919325719943998
semi hard,1,TL-A,0,100,55.00000000000001,0.0949223360816296
semi hard,1,TL-A,0,200,65.0,0.0854127663931758
semi hard,1,1PO-A,0,100,44.18604651162791,0.07758133541361412
semi hard,1,2PO1-A,0,100,54.347826086956516,0.08318799712716807
semi hard,1,2PO1-A,0,300,47.82608695652174,0.07424189775617045
semi hard,1,2PO2-A,0,100,42.5,0.09926521918598002
semi hard,1,2PO2-A,0,200,45.0,0.09460996510891917
semi hard,1,2PO2-A,1,0,52.5,0.09067966015827764
semi hard,1,2PO2-A,2,100,57.49999999999999,0.08941630364523044
semi hard,1,2PO2-A,2,400,47.5,0.08911891890444062
semi hard,1,2PO2-A,2,600,52.5,0.08577113688339767
semi hard,1,CR-A,1,0,50.63291139240506,0.17452385408920118
semi hard,1,CR-A,1,200,48.9451476793249,0.10432499016502092
semi hard,1,CR-A,1,400,51.47679324894515,0.1019737509962163
semi hard,1,CR-A,3,200,51.47679324894515,0.10127862975020079
semi hard,1,CR-A,3,600,56.118143459915615,0.09981885299274436
semi hard,1,KT-A,0,100,40.0,0.09576483283858557
semi hard,1,KT-A,0,300,42.22222222222222,0.08470760027310051
semi hard,1,KT-A,0,400,53.333333333333336,0.07726645661567043
semi hard,1,KT-A,1,200,48.888888888888886,0.07405363769886916
semi hard,1,KT-A,2,100,57.77777777777777,0.07017517695480306
semi hard,1,LO-A,0,100,58.97435897435898,0.08709811357024871
semi hard,1,LO-A,0,200,69.23076923076923,0.08528122721184585
semi hard,1,LO-A,0,600,61.53846153846154,0.08022399701702632
semi hard,1,PA-A,0,100,53.57142857142857,0.08049381938076362
