Loss,Margin,Room,Epoch,It,Validation accuracy,Geometric error
semi hard,1,1PO-A,0,100,41.86046511627907,0.09612674238587568
semi hard,1,1PO-A,0,200,34.883720930232556,0.08668995712186481
semi hard,1,1PO-A,0,300,51.16279069767442,0.07721321840211348
semi hard,1,2PO1-A,0,100,41.30434782608695,0.09401304677971126
semi hard,1,2PO1-A,0,200,54.34782608695652,0.08368399922648159
semi hard,1,2PO1-A,1,200,47.82608695652174,0.08024839111008532
semi hard,1,2PO2-A,0,100,60.0,0.08181259033865701
semi hard,1,CR-A,1,200,51.0548523206751,0.1445784412978084
semi hard,1,CR-A,2,100,48.9451476793249,0.14138871887917287
semi hard,1,CR-A,2,200,54.85232067510549,0.1236356148701201
semi hard,1,CR-A,2,400,55.27426160337553,0.11237199091556428
semi hard,1,CR-A,2,600,47.67932489451477,0.10042565295142324
semi hard,1,CR-A,3,100,56.540084388185655,0.0925098228271596
semi hard,1,KT-A,0,100,40.0,0.087910960607545
semi hard,1,KT-A,0,400,53.333333333333336,0.08086006136540558
semi hard,1,KT-A,1,100,53.333333333333336,0.07596508694704668
semi hard,1,KT-A,1,400,60.0,0.07576886805683994
semi hard,1,KT-A,2,500,57.77777777777778,0.07384198220088417
semi hard,1,LO-A,0,100,48.717948717948715,0.1015587245231323
semi hard,1,LO-A,0,400,56.41025641025641,0.09415032613439686
semi hard,1,LO-A,0,500,53.84615384615385,0.09262098991212936
semi hard,1,LO-A,0,600,51.282051282051285,0.09232243627328363
semi hard,1,LO-A,4,300,58.97435897435897,0.09006183455486856
semi hard,1,PA-A,0,100,62.5,0.08178263077429594
semi hard,1,PA-A,3,600,51.785714285714285,0.0802435170696039
semi hard,1,ST-A,0,100,62.5,0.11110787267506879
semi hard,1,ST-A,0,400,60.0,0.11090606536924157
semi hard,1,ST-A,0,500,42.5,0.1081078940879541
semi hard,1,ST-A,0,600,52.5,0.1053969650751494
semi hard,1,ST-A,1,0,62.5,0.09757876466641406
semi hard,1,ST-A,1,100,57.5,0.09465337683901659
semi hard,1,TL-A,0,100,62.5,0.09149697753987218
semi hard,1,TL-A,0,600,60.0,0.09003451960295913
semi hard,1,TL-A,2,600,60.0,0.08860012566991836
semi hard,1,TL-A,3,300,62.5,0.08650591198801384
semi hard,1,1PO-A,0,100,51.16279069767442,0.09698618430611494
semi hard,1,1PO-A,0,500,34.883720930232556,0.09133460768876234
semi hard,1,1PO-A,0,600,51.16279069767442,0.08553963709740707
semi hard,1,1PO-A,3,0,48.83720930232558,0.08332198102534949
