Img,Coord X,Coord Y
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/2PO1-A/t1152904683.239028_x-5.762235_y-2.406452_a1.641562.jpeg,-5.762235,-2.406452
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/2PO1-A/t1152904679.158769_x-5.714295_y-3.103579_a1.580421.jpeg,-5.714295,-3.103579
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/2PO1-A/t1152904667.938070_x-5.623269_y-4.742769_a1.581103.jpeg,-5.623269,-4.742769
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/2PO1-A/t1152904662.501921_x-5.429279_y-4.914426_a0.150539.jpeg,-5.429279,-4.914426
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/2PO1-A/t1152904685.279152_x-5.780947_y-2.070110_a1.630119.jpeg,-5.780947,-2.07011
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/2PO1-A/t1152904686.299216_x-5.789281_y-1.908902_a1.627144.jpeg,-5.789281,-1.908902
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/2PO1-A/t1152904645.160647_x-5.849999_y-2.572117_a-1.584851.jpeg,-5.849999,-2.572117
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/2PO1-A/t1152904665.693931_x-5.571854_y-4.752191_a1.304760.jpeg,-5.571854,-4.752191
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/2PO1-A/t1152904661.481665_x-5.423686_y-4.986390_a-0.208034.jpeg,-5.423686,-4.98639
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/2PO1-A/t1152904678.138706_x-5.706219_y-3.268857_a1.585820.jpeg,-5.706219,-3.268857
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/2PO1-A/t1152904681.198899_x-5.739242_y-2.734067_a1.636808.jpeg,-5.739242,-2.734067
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/2PO1-A/t1152904673.038388_x-5.682811_y-4.114812_a1.626542.jpeg,-5.682811,-4.114812
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/2PO1-A/t1152904642.100453_x-5.845346_y-1.959613_a-1.638548.jpeg,-5.845346,-1.959613
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/2PO1-A/t1152904657.401409_x-5.595306_y-5.136841_a-1.436722.jpeg,-5.595306,-5.136841
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/2PO1-A/t1152904648.220838_x-5.839869_y-3.195589_a-1.480552.jpeg,-5.839869,-3.195589
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/2PO1-A/t1152904670.998259_x-5.666106_y-4.408081_a1.655305.jpeg,-5.666106,-4.408081
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/2PO1-A/t1152904650.260963_x-5.797222_y-3.626333_a-1.476083.jpeg,-5.797222,-3.626333
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/2PO1-A/t1152904687.319463_x-5.799196_y-1.723858_a1.625388.jpeg,-5.799196,-1.723858
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/2PO1-A/t1152904647.200773_x-5.863461_y-2.986426_a-1.595335.jpeg,-5.863461,-2.986426
