Img,Coord X,Coord Y
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/KT-A/t1152904837.188647_x-8.768085_y-4.662915_a1.562136.jpeg,-8.768085,-4.662915
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/KT-A/t1152904840.248840_x-8.810826_y-4.243390_a1.644751.jpeg,-8.810826,-4.24339
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/KT-A/t1152904832.088433_x-8.687532_y-4.951348_a1.077420.jpeg,-8.687532,-4.951348
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/KT-A/t1152904850.449477_x-8.813657_y-1.836855_a1.546988.jpeg,-8.813657,-1.836855
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/KT-A/t1152904829.028137_x-8.587249_y-5.178763_a-0.267685.jpeg,-8.587249,-5.178763
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/KT-A/t1152904807.946822_x-8.904133_y-2.316620_a-1.468948.jpeg,-8.904133,-2.31662
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/KT-A/t1152904820.663613_x-8.779428_y-4.735641_a-1.555238.jpeg,-8.779428,-4.735641
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/KT-A/t1152904817.603613_x-8.782486_y-4.163582_a-1.538805.jpeg,-8.782486,-4.163582
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/KT-A/t1152904809.987063_x-8.859997_y-2.729195_a-1.482889.jpeg,-8.859997,-2.729195
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/KT-A/t1152904814.543231_x-8.803910_y-3.581392_a-1.503675.jpeg,-8.80391,-3.581392
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/KT-A/t1152904806.926778_x-8.925255_y-2.095379_a-1.462536.jpeg,-8.925255,-2.095379
