Img,Coord X,Coord Y
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/LO-A/t1152904593.329406_x1.009890_y-2.627180_a0.695466.jpeg,1.00989,-2.62718
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/LO-A/t1152904595.369533_x1.163184_y-2.194505_a1.344911.jpeg,1.163184,-2.194505
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/LO-A/t1152904577.824436_x1.010006_y-2.884940_a-1.693633.jpeg,1.010006,-2.88494
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/LO-A/t1152904581.904885_x0.798657_y-3.720351_a-1.998660.jpeg,0.798657,-3.720351
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/LO-A/t1152904591.289278_x0.691570_y-2.869749_a0.601557.jpeg,0.69157,-2.869749
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/LO-A/t1152904588.025073_x0.101978_y-3.227766_a1.359760.jpeg,0.101978,-3.227766
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/LO-A/t1152904596.185705_x1.180465_y-2.010990_a1.414374.jpeg,1.180465,-2.01099
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/LO-A/t1152904585.984950_x0.038329_y-3.667878_a2.477871.jpeg,0.038329,-3.667878
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/LO-A/t1152904594.145456_x1.117905_y-2.477455_a0.822846.jpeg,1.117905,-2.477455
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/LO-A/t1152904581.088641_x0.895838_y-3.578795_a-1.724252.jpeg,0.895838,-3.578795
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/LO-A/t1152904587.209228_x0.022719_y-3.386356_a1.777270.jpeg,0.022719,-3.386356
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/LO-A/t1152904578.844535_x0.979042_y-3.093276_a-1.696978.jpeg,0.979042,-3.093276
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/LO-A/t1152904584.964883_x0.149200_y-3.854436_a3.050574.jpeg,0.1492,-3.854436
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/LO-A/t1152904597.413667_x1.177081_y-1.767231_a1.519874.jpeg,1.177081,-1.767231
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/LO-A/t1152904576.804373_x1.022198_y-2.657561_a-1.699660.jpeg,1.022198,-2.657561
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/LO-A/t1152904589.249150_x0.333635_y-3.109981_a0.660782.jpeg,0.333635,-3.109981
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/LO-A/t1152904595.165521_x1.166242_y-2.256477_a1.242742.jpeg,1.166242,-2.256477
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/LO-A/t1152904579.048515_x0.972915_y-3.155762_a-1.699209.jpeg,0.972915,-3.155762
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/LO-A/t1152904571.704055_x1.140580_y-1.660172_a-1.911354.jpeg,1.14058,-1.660172
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/LO-A/t1152904574.764249_x1.066809_y-2.258413_a-1.700632.jpeg,1.066809,-2.258413
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/LO-A/t1152904593.125394_x0.997718_y-2.653145_a0.638832.jpeg,0.997718,-2.653145
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/LO-A/t1152904587.005011_x0.012241_y-3.426134_a1.889198.jpeg,0.012241,-3.426134
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/LO-A/t1152904590.065201_x0.461918_y-3.031279_a0.604824.jpeg,0.461918,-3.031279
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/LO-A/t1152904579.864566_x0.941842_y-3.338795_a-1.697247.jpeg,0.941842,-3.338795
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/LO-A/t1152904585.168998_x0.113274_y-3.819860_a2.903478.jpeg,0.113274,-3.81986
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/LO-A/t1152904572.928132_x1.123396_y-1.880442_a-1.700355.jpeg,1.123396,-1.880442
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/LO-A/t1152904572.724205_x1.125073_y-1.842415_a-1.717841.jpeg,1.125073,-1.842415
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/LO-A/t1152904583.128770_x0.579358_y-3.845517_a-2.473963.jpeg,0.579358,-3.845517
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/LO-A/t1152904582.924759_x0.598085_y-3.839288_a-2.443781.jpeg,0.598085,-3.839288
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/LO-A/t1152904592.105329_x0.834922_y-2.773252_a0.596935.jpeg,0.834922,-2.773252
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/LO-A/t1152904580.884732_x0.907385_y-3.536687_a-1.710697.jpeg,0.907385,-3.536687
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/LO-A/t1152904573.744186_x1.093906_y-2.059714_a-1.703238.jpeg,1.093906,-2.059714
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/LO-A/t1152904583.944823_x0.360256_y-3.887200_a-2.857417.jpeg,0.360256,-3.8872
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/LO-A/t1152904574.968258_x1.060783_y-2.302382_a-1.701971.jpeg,1.060783,-2.302382
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/LO-A/t1152904589.045139_x0.285639_y-3.116247_a0.779613.jpeg,0.285639,-3.116247
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/LO-A/t1152904591.085267_x0.642996_y-2.902271_a0.606691.jpeg,0.642996,-2.902271
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/LO-A/t1152904575.784309_x1.033958_y-2.507392_a-1.703320.jpeg,1.033958,-2.507392
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/LO-A/t1152904577.008584_x1.019529_y-2.700521_a-1.686659.jpeg,1.019529,-2.700521
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/LO-A/t1152904597.209649_x1.174499_y-1.812077_a1.521590.jpeg,1.174499,-1.812077
