Img,Coord X,Coord Y
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/PA-A/t1152904502.203917_x5.127759_y-2.793336_a-1.726421.jpeg,5.127759,-2.793336
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/PA-A/t1152904512.612366_x5.088207_y-2.888822_a1.587964.jpeg,5.088207,-2.888822
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/PA-A/t1152904507.304031_x4.869580_y-3.189583_a-2.486950.jpeg,4.86958,-3.189583
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/PA-A/t1152904525.261151_x4.996686_y-1.707715_a1.671369.jpeg,4.996686,-1.707715
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/PA-A/t1152904535.461791_x4.658607_y-0.276398_a2.328597.jpeg,4.658607,-0.276398
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/PA-A/t1152904522.200962_x5.039793_y-2.210041_a1.657086.jpeg,5.039793,-2.210041
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/PA-A/t1152904487.922845_x4.793843_y-0.485630_a-0.315957.jpeg,4.793843,-0.48563
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/PA-A/t1152904500.163607_x5.181178_y-2.456764_a-1.736352.jpeg,5.181178,-2.456764
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/PA-A/t1152904505.263903_x4.919487_y-3.229617_a-2.136570.jpeg,4.919487,-3.229617
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/PA-A/t1152904490.983110_x5.088072_y-0.943026_a-1.107484.jpeg,5.088072,-0.943026
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/PA-A/t1152904504.243864_x5.035652_y-3.123153_a-1.853578.jpeg,5.035652,-3.123153
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/PA-A/t1152904539.546044_x4.016340_y-0.223571_a3.040356.jpeg,4.01634,-0.223571
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/PA-A/t1152904520.161028_x5.061191_y-2.467524_a1.667253.jpeg,5.061191,-2.467524
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/PA-A/t1152904524.241087_x5.011707_y-1.865063_a1.672196.jpeg,5.011707,-1.865063
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/PA-A/t1152904509.344156_x4.867016_y-3.018993_a2.920319.jpeg,4.867016,-3.018993
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/PA-A/t1152904528.321343_x4.960658_y-1.277527_a1.658041.jpeg,4.960658,-1.277527
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/PA-A/t1152904482.818709_x3.950785_y-0.312424_a-0.068752.jpeg,3.950785,-0.312424
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/PA-A/t1152904533.421668_x4.909415_y-0.483356_a1.662951.jpeg,4.909415,-0.483356
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/PA-A/t1152904493.023138_x5.152924_y-1.291612_a-1.379854.jpeg,5.152924,-1.291612
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/PA-A/t1152904494.043203_x5.161534_y-1.450194_a-1.436154.jpeg,5.161534,-1.450194
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/PA-A/t1152904516.080577_x5.106514_y-2.792416_a1.512452.jpeg,5.106514,-2.792416
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/PA-A/t1152904534.441727_x4.800837_y-0.382898_a2.057884.jpeg,4.800837,-0.382898
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/PA-A/t1152904508.324236_x4.845921_y-3.106243_a-2.921531.jpeg,4.845921,-3.106243
