Img,Coord X,Coord Y
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/ST-A/t1152904889.211899_x-15.145024_y-2.081960_a-1.610780.jpeg,-15.145024,-2.08196
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/ST-A/t1152904950.631736_x-13.818657_y-2.239024_a3.133559.jpeg,-13.818657,-2.239024
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/ST-A/t1152904899.616549_x-13.112143_y-2.317774_a0.382372.jpeg,-13.112143,-2.317774
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/ST-A/t1152904893.496168_x-14.474793_y-2.664554_a-0.100721.jpeg,-14.474793,-2.664554
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/ST-A/t1152904957.776184_x-15.024443_y-2.125083_a2.771076.jpeg,-15.024443,-2.125083
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/ST-A/t1152904948.591612_x-13.464893_y-2.254452_a3.124021.jpeg,-13.464893,-2.254452
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/ST-A/t1152904954.920004_x-14.546420_y-2.228060_a3.108503.jpeg,-14.54642,-2.22806
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/ST-A/t1152904955.736057_x-14.698290_y-2.221593_a3.100545.jpeg,-14.69829,-2.221593
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/ST-A/t1152904946.551486_x-13.172870_y-2.285589_a-3.122334.jpeg,-13.17287,-2.285589
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/ST-A/t1152904952.671864_x-14.162798_y-2.239311_a3.123357.jpeg,-14.162798,-2.239311
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/ST-A/t1152904961.856525_x-15.094834_y-1.465583_a1.551970.jpeg,-15.094834,-1.465583
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/ST-A/t1152904959.816311_x-15.181292_y-1.806189_a2.095738.jpeg,-15.181292,-1.806189
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/ST-A/t1152904947.571545_x-13.291368_y-2.283427_a-3.139555.jpeg,-13.291368,-2.283427
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/ST-A/t1152904949.611673_x-13.625170_y-2.251957_a3.127393.jpeg,-13.62517,-2.251957
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/ST-A/t1152904953.695929_x-14.326842_y-2.230263_a3.112616.jpeg,-14.326842,-2.230263
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/ST-A/t1152904956.756334_x-14.869278_y-2.214182_a3.111319.jpeg,-14.869278,-2.214182
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/ST-A/t1152904898.392471_x-13.371442_y-2.417039_a0.429688.jpeg,-13.371442,-2.417039
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/ST-A/t1152904897.372407_x-13.569135_y-2.518438_a0.156169.jpeg,-13.569135,-2.518438
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/ST-A/t1152904895.332281_x-14.041868_y-2.586754_a0.176346.jpeg,-14.041868,-2.586754
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/ST-A/t1152904954.715991_x-14.508453_y-2.219243_a3.108622.jpeg,-14.508453,-2.219243
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/ST-A/t1152904887.171771_x-15.081824_y-1.608092_a-1.586233.jpeg,-15.081824,-1.608092
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/ST-A/t1152904888.191834_x-15.134285_y-1.875629_a-1.620042.jpeg,-15.134285,-1.875629
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/ST-A/t1152904961.040387_x-15.086209_y-1.605060_a1.458726.jpeg,-15.086209,-1.60506
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/ST-A/t1152904951.856007_x-14.014366_y-2.244906_a3.128107.jpeg,-14.014366,-2.244906
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/ST-A/t1152904894.312216_x-14.275178_y-2.654093_a0.013686.jpeg,-14.275178,-2.654093
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/ST-A/t1152904890.231963_x-15.031881_y-2.320454_a-1.190648.jpeg,-15.031881,-2.320454
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/ST-A/t1152904896.352344_x-13.813248_y-2.554645_a0.165436.jpeg,-13.813248,-2.554645
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/ST-A/t1152904896.556363_x-13.773080_y-2.547483_a0.160988.jpeg,-13.77308,-2.547483
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/ST-A/t1152904960.836379_x-15.095208_y-1.637307_a1.486918.jpeg,-15.095208,-1.637307
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/ST-A/t1152904948.795621_x-13.500666_y-2.253615_a3.123104.jpeg,-13.500666,-2.253615
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/ST-A/t1152904886.151705_x-15.079208_y-1.364549_a-1.589733.jpeg,-15.079208,-1.364549
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/ST-A/t1152904892.272097_x-14.748514_y-2.676524_a-0.820599.jpeg,-14.748514,-2.676524
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/ST-A/t1152904891.252026_x-14.938213_y-2.495733_a-1.127196.jpeg,-14.938213,-2.495733
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/ST-A/t1152904899.412536_x-13.154401_y-2.323575_a0.422749.jpeg,-13.154401,-2.323575
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/ST-A/t1152904958.796246_x-15.116510_y-1.992647_a2.438360.jpeg,-15.11651,-1.992647
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/ST-A/t1152904951.651800_x-13.984025_y-2.245364_a3.127983.jpeg,-13.984025,-2.245364
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/ST-A/t1152904893.292153_x-14.537710_y-2.680050_a-0.245364.jpeg,-14.53771,-2.68005
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/ST-A/t1152904887.375784_x-15.082148_y-1.653247_a-1.584486.jpeg,-15.082148,-1.653247
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/ST-A/t1152904957.980195_x-15.048603_y-2.094378_a2.679395.jpeg,-15.048603,-2.094378
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/ST-A/t1152904890.435980_x-15.009630_y-2.358337_a-1.156331.jpeg,-15.00963,-2.358337
