Img,Coord X,Coord Y
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/TL-A/t1152904909.613173_x-12.473527_y-3.757454_a-1.645027.jpeg,-12.473527,-3.757454
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/TL-A/t1152904918.793745_x-11.690449_y-4.528255_a1.236477.jpeg,-11.690449,-4.528255
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/TL-A/t1152904938.386972_x-12.511732_y-2.651017_a1.625399.jpeg,-12.511732,-2.651017
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/TL-A/t1152904903.492794_x-12.266552_y-2.393599_a-0.509180.jpeg,-12.266552,-2.393599
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/TL-A/t1152904924.918238_x-12.479217_y-3.368461_a1.961763.jpeg,-12.479217,-3.368461
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/TL-A/t1152904914.713492_x-12.372722_y-4.912183_a-1.109402.jpeg,-12.372722,-4.912183
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/TL-A/t1152904911.653300_x-12.491096_y-4.217627_a-1.577637.jpeg,-12.491096,-4.217627
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/TL-A/t1152904917.773883_x-11.728778_y-4.752344_a0.700424.jpeg,-11.728778,-4.752344
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/TL-A/t1152904939.407035_x-12.515756_y-2.588844_a1.627919.jpeg,-12.515756,-2.588844
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/TL-A/t1152904923.898066_x-12.389765_y-3.586446_a1.952451.jpeg,-12.389765,-3.586446
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/TL-A/t1152904921.853939_x-12.185617_y-4.009903_a2.500404.jpeg,-12.185617,-4.009903
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/TL-A/t1152904912.673363_x-12.499628_y-4.451345_a-1.592845.jpeg,-12.499628,-4.451345
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/TL-A/t1152904906.552982_x-12.356127_y-3.068326_a-2.000155.jpeg,-12.356127,-3.068326
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/TL-A/t1152904909.817185_x-12.480113_y-3.805893_a-1.645900.jpeg,-12.480113,-3.805893
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/TL-A/t1152904922.874001_x-12.321841_y-3.785902_a2.209833.jpeg,-12.321841,-3.785902
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/TL-A/t1152904943.491332_x-12.784251_y-2.246326_a2.638267.jpeg,-12.784251,-2.246326
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/TL-A/t1152904926.958446_x-12.489136_y-3.122640_a1.633733.jpeg,-12.489136,-3.12264
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/TL-A/t1152904928.998387_x-12.512096_y-2.865407_a1.627816.jpeg,-12.512096,-2.865407
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/TL-A/t1152904945.531418_x-13.045624_y-2.263733_a3.014098.jpeg,-13.045624,-2.263733
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/TL-A/t1152904916.753818_x-11.886529_y-4.946045_a0.096229.jpeg,-11.886529,-4.946045
/home/arvc/Marcos/TRIPLET_NETWORKS/DATASETS/FRIBURGO/Validacion/TL-A/t1152904937.367094_x-12.511615_y-2.682655_a1.626756.jpeg,-12.511615,-2.682655
